casts,directors,rate,title
"陈坤,黄渤,舒淇,杨颖,夏雨",乌尔善,7.4,寻龙诀
"梁朝伟,汤唯,陈冲,王力宏,庹宗华",李安,8.4,色，戒
"邓超,孙俪,郑恺,王千源,王景春",张艺谋,7.2,影
"文章,舒淇,黄渤,罗志祥,李尚正","周星驰,郭子健",7.1,西游降魔篇
"王凯,张鲁一,林心如,叶祖新,丁冠森",苏有朋,6.3,嫌疑人X的献身
"黄才伦,艾伦,宋阳,卢靖姗,沈腾",吴昱翰,4.6,李茶的姑妈
"冯绍峰,陈柏霖,钟汉良,王珞丹,袁泉",韩寒,7.1,后会无期
"王俊凯,迪丽热巴,董子健,李鸿其,董李无忧",韩杰,5.0,解忧杂货店
"赵英博,任敏,辛云来,章若楠,朱丹妮",落落,5.9,悲伤逆流成河
"徐峥,赵薇,包贝尔,杜鹃,葛民辉","徐峥,阮惟新",5.7,港囧
"汤唯,吴秀波,海清,宋美曼,宋美慧",薛晓路,7.3,北京遇上西雅图
"范·迪塞尔,保罗·沃克,杰森·斯坦森,米歇尔·罗德里格兹,乔丹娜·布鲁斯特",温子仁,8.3,速度与激情7
"吴京,余男,斯科特·阿金斯,凯文·李,倪大红",吴京,6.9,战狼
"邓超,段奕宏,郭涛,王珞丹,吕颂贤",曹保平,8.1,烈日灼心
"陈都灵,欧豪,杨洋,马思纯,段博文",苏有朋,5.5,左耳
"杨幂,柯震东,郭采洁,郭碧婷,谢依霖",郭敬明,4.8,小时代
"金城武,周冬雨,孙艺洲,奚梦瑶,杨祐宁",许宏宇,6.8,喜欢你
"黄渤,徐峥,袁泉,周冬雨,陶慧",宁浩,7.1,心花路放
"佟大为,马丽,霍思燕,乔杉,田雨",于淼,5.8,来电狂响
"白百何,文章,张嘉译,王耀庆,张子萱",滕华涛,7.2,失恋33天
"邱岳峰,富润生,毕克,尚华,于鼎","万籁鸣,唐澄",9.3,大闹天宫
"大鹏,柳岩,张子贤,张邵勃 ,刘刚",申奥,6.6,受益人
"克里斯蒂安·贝尔,倪妮,张歆怡,黄天元,韩熙庭",张艺谋,8.1,金陵十三钗
"王宝强,鄂靖文,张全蛋,景如洋,张琪","周星驰,邱礼涛,肖鹤,黄骁鹏",5.7,新喜剧之王
